,ParkCode,Month,Visitors,StateCode,Full Name,Lat,Lon
296,fiis,8,47798,NY,Fire Island National Seashore,40.69668638,-73.00013462
297,fiis,9,25520,NY,Fire Island National Seashore,40.69668638,-73.00013462
298,fiis,10,15552,NY,Fire Island National Seashore,40.69668638,-73.00013462
299,fiis,11,11304,NY,Fire Island National Seashore,40.69668638,-73.00013462
300,fost,0,1879,NY,Fort Stanwix National Monument,43.21053441,-75.45557626
301,fost,1,1262,NY,Fort Stanwix National Monument,43.21053441,-75.45557626
302,fost,2,2106,NY,Fort Stanwix National Monument,43.21053441,-75.45557626
303,fost,3,5425,NY,Fort Stanwix National Monument,43.21053441,-75.45557626
304,fost,4,7967,NY,Fort Stanwix National Monument,43.21053441,-75.45557626
305,fost,5,11884,NY,Fort Stanwix National Monument,43.21053441,-75.45557626
306,fost,6,34923,NY,Fort Stanwix National Monument,43.21053441,-75.45557626
307,fost,7,10613,NY,Fort Stanwix National Monument,43.21053441,-75.45557626
308,fost,8,10610,NY,Fort Stanwix National Monument,43.21053441,-75.45557626
309,fost,9,6425,NY,Fort Stanwix National Monument,43.21053441,-75.45557626
310,fost,10,2760,NY,Fort Stanwix National Monument,43.21053441,-75.45557626
311,fost,11,1558,NY,Fort Stanwix National Monument,43.21053441,-75.45557626
312,gate,0,504178,NY,Gateway National Recreation Area,40.56536246,-73.9171087
313,gate,1,543132,NY,Gateway National Recreation Area,40.56536246,-73.9171087
314,gate,2,653021,NY,Gateway National Recreation Area,40.56536246,-73.9171087
315,gate,3,662417,NY,Gateway National Recreation Area,40.56536246,-73.9171087
316,gate,4,818697,NY,Gateway National Recreation Area,40.56536246,-73.9171087
317,gate,5,1055032,NY,Gateway National Recreation Area,40.56536246,-73.9171087
318,gate,6,1223949,NY,Gateway National Recreation Area,40.56536246,-73.9171087
319,gate,7,1085625,NY,Gateway National Recreation Area,40.56536246,-73.9171087
320,gate,8,908313,NY,Gateway National Recreation Area,40.56536246,-73.9171087
321,gate,9,733807,NY,Gateway National Recreation Area,40.56536246,-73.9171087
322,gate,10,655858,NY,Gateway National Recreation Area,40.56536246,-73.9171087
323,gate,11,561593,NY,Gateway National Recreation Area,40.56536246,-73.9171087
324,gegr,0,611,NY,General Grant National Memorial,40.81332817,-73.96331542
325,gegr,1,2870,NY,General Grant National Memorial,40.81332817,-73.96331542
326,gegr,2,4590,NY,General Grant National Memorial,40.81332817,-73.96331542
327,gegr,3,6421,NY,General Grant National Memorial,40.81332817,-73.96331542
328,gegr,4,7422,NY,General Grant National Memorial,40.81332817,-73.96331542
329,gegr,5,7737,NY,General Grant National Memorial,40.81332817,-73.96331542
330,gegr,6,37438,NY,General Grant National Memorial,40.81332817,-73.96331542
331,gegr,7,12219,NY,General Grant National Memorial,40.81332817,-73.96331542
332,gegr,8,12421,NY,General Grant National Memorial,40.81332817,-73.96331542
333,gegr,9,9190,NY,General Grant National Memorial,40.81332817,-73.96331542
334,gegr,10,7033,NY,General Grant National Memorial,40.81332817,-73.96331542
335,gegr,11,5900,NY,General Grant National Memorial,40.81332817,-73.96331542
336,gois,0,0,NY,Governors Island National Monument,40.69164233,-74.01670765
337,gois,1,40,NY,Governors Island National Monument,40.69164233,-74.01670765
338,gois,2,40,NY,Governors Island National Monument,40.69164233,-74.01670765
339,gois,3,35,NY,Governors Island National Monument,40.69164233,-74.01670765
340,gois,4,81095,NY,Governors Island National Monument,40.69164233,-74.01670765
341,gois,5,104916,NY,Governors Island National Monument,40.69164233,-74.01670765
342,gois,6,105625,NY,Governors Island National Monument,40.69164233,-74.01670765
343,gois,7,145081,NY,Governors Island National Monument,40.69164233,-74.01670765
344,gois,8,106971,NY,Governors Island National Monument,40.69164233,-74.01670765
345,gois,9,47190,NY,Governors Island National Monument,40.69164233,-74.01670765
346,gois,10,0,NY,Governors Island National Monument,40.69164233,-74.01670765
347,gois,11,0,NY,Governors Island National Monument,40.69164233,-74.01670765
348,hagr,0,495,NY,Hamilton Grange National Memorial,40.81871605,-73.94878487
349,hagr,1,3901,NY,Hamilton Grange National Memorial,40.81871605,-73.94878487
350,hagr,2,5074,NY,Hamilton Grange National Memorial,40.81871605,-73.94878487
