UnitCode,Month,Visitors,StateCode,SpansStates,Park,Lat,Lon,Name,Population,Latitude,Longitude
AFBG,5,4621,NY,1.0,African Burial Ground National Monument,40.71452681,-74.00447358,New York,19798228.0,42.9538,-75.5268
AFBG,6,5520,NY,1.0,African Burial Ground National Monument,40.71452681,-74.00447358,New York,19798228.0,42.9538,-75.5268
AFBG,7,4332,NY,1.0,African Burial Ground National Monument,40.71452681,-74.00447358,New York,19798228.0,42.9538,-75.5268
AFBG,8,4384,NY,1.0,African Burial Ground National Monument,40.71452681,-74.00447358,New York,19798228.0,42.9538,-75.5268
AFBG,9,8667,NY,1.0,African Burial Ground National Monument,40.71452681,-74.00447358,New York,19798228.0,42.9538,-75.5268
AFBG,10,2058,NY,1.0,African Burial Ground National Monument,40.71452681,-74.00447358,New York,19798228.0,42.9538,-75.5268
AFBG,11,4279,NY,1.0,African Burial Ground National Monument,40.71452681,-74.00447358,New York,19798228.0,42.9538,-75.5268
CACL,0,181143,NY,1.0,Castle Clinton National Monument,40.70347795,-74.01680558,New York,19798228.0,42.9538,-75.5268
CACL,1,193675,NY,1.0,Castle Clinton National Monument,40.70347795,-74.01680558,New York,19798228.0,42.9538,-75.5268
CACL,2,269440,NY,1.0,Castle Clinton National Monument,40.70347795,-74.01680558,New York,19798228.0,42.9538,-75.5268
CACL,3,412122,NY,1.0,Castle Clinton National Monument,40.70347795,-74.01680558,New York,19798228.0,42.9538,-75.5268
CACL,4,413828,NY,1.0,Castle Clinton National Monument,40.70347795,-74.01680558,New York,19798228.0,42.9538,-75.5268
CACL,5,468687,NY,1.0,Castle Clinton National Monument,40.70347795,-74.01680558,New York,19798228.0,42.9538,-75.5268
CACL,6,558814,NY,1.0,Castle Clinton National Monument,40.70347795,-74.01680558,New York,19798228.0,42.9538,-75.5268
CACL,7,550729,NY,1.0,Castle Clinton National Monument,40.70347795,-74.01680558,New York,19798228.0,42.9538,-75.5268
CACL,8,372332,NY,1.0,Castle Clinton National Monument,40.70347795,-74.01680558,New York,19798228.0,42.9538,-75.5268
CACL,9,375893,NY,1.0,Castle Clinton National Monument,40.70347795,-74.01680558,New York,19798228.0,42.9538,-75.5268
CACL,10,271108,NY,1.0,Castle Clinton National Monument,40.70347795,-74.01680558,New York,19798228.0,42.9538,-75.5268
CACL,11,293263,NY,1.0,Castle Clinton National Monument,40.70347795,-74.01680558,New York,19798228.0,42.9538,-75.5268
ELRO,0,88,NY,1.0,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026,New York,19798228.0,42.9538,-75.5268
ELRO,1,570,NY,1.0,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026,New York,19798228.0,42.9538,-75.5268
ELRO,2,1210,NY,1.0,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026,New York,19798228.0,42.9538,-75.5268
ELRO,3,2237,NY,1.0,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026,New York,19798228.0,42.9538,-75.5268
ELRO,4,4804,NY,1.0,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026,New York,19798228.0,42.9538,-75.5268
ELRO,5,6344,NY,1.0,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026,New York,19798228.0,42.9538,-75.5268
ELRO,6,6965,NY,1.0,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026,New York,19798228.0,42.9538,-75.5268
ELRO,7,6914,NY,1.0,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026,New York,19798228.0,42.9538,-75.5268
ELRO,8,7294,NY,1.0,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026,New York,19798228.0,42.9538,-75.5268
ELRO,9,8612,NY,1.0,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026,New York,19798228.0,42.9538,-75.5268
ELRO,10,1918,NY,1.0,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026,New York,19798228.0,42.9538,-75.5268
ELRO,11,674,NY,1.0,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026,New York,19798228.0,42.9538,-75.5268
FEHA,0,2720,NY,1.0,Federal Hall National Memorial,40.70731192,-74.01025636,New York,19798228.0,42.9538,-75.5268
FEHA,1,15121,NY,1.0,Federal Hall National Memorial,40.70731192,-74.01025636,New York,19798228.0,42.9538,-75.5268
FEHA,2,21239,NY,1.0,Federal Hall National Memorial,40.70731192,-74.01025636,New York,19798228.0,42.9538,-75.5268
FEHA,3,28577,NY,1.0,Federal Hall National Memorial,40.70731192,-74.01025636,New York,19798228.0,42.9538,-75.5268
FEHA,4,27693,NY,1.0,Federal Hall National Memorial,40.70731192,-74.01025636,New York,19798228.0,42.9538,-75.5268
FEHA,5,31307,NY,1.0,Federal Hall National Memorial,40.70731192,-74.01025636,New York,19798228.0,42.9538,-75.5268
FEHA,6,36042,NY,1.0,Federal Hall National Memorial,40.70731192,-74.01025636,New York,19798228.0,42.9538,-75.5268
FEHA,7,33851,NY,1.0,Federal Hall National Memorial,40.70731192,-74.01025636,New York,19798228.0,42.9538,-75.5268
FEHA,8,15888,NY,1.0,Federal Hall National Memorial,40.70731192,-74.01025636,New York,19798228.0,42.9538,-75.5268
FEHA,9,20505,NY,1.0,Federal Hall National Memorial,40.70731192,-74.01025636,New York,19798228.0,42.9538,-75.5268
FEHA,10,16351,NY,1.0,Federal Hall National Memorial,40.70731192,-74.01025636,New York,19798228.0,42.9538,-75.5268
