UnitCode,Month,Visitors
SAFR,8,329370
SAFR,9,322157
SAFR,10,279830
SAFR,11,277657
SAMO,0,50606
SAMO,1,54601
SAMO,2,71201
SAMO,3,75278
SAMO,4,84594
SAMO,5,69118
SAMO,6,58938
SAMO,7,54930
SAMO,8,50474
SAMO,9,54416
SAMO,10,46000
SAMO,11,37410
SEQU,0,36024
SEQU,1,28737
SEQU,2,63343
SEQU,3,93054
SEQU,4,119816
SEQU,5,153882
SEQU,6,193633
SEQU,7,190139
SEQU,8,144639
SEQU,9,118187
SEQU,10,59502
SEQU,11,45097
VALR,0,127852
VALR,1,122379
VALR,2,144685
VALR,3,139925
VALR,4,137527
VALR,5,150832
VALR,6,159687
VALR,7,147461
VALR,8,144656
VALR,9,149796
VALR,10,136920
VALR,11,154815
WHIS,0,21107
WHIS,1,26275
WHIS,2,54862
WHIS,3,65872
WHIS,4,62060
WHIS,5,100366
WHIS,6,119342
WHIS,7,100506
WHIS,8,43462
WHIS,9,39514
WHIS,10,31986
WHIS,11,21807
YOSE,0,116746
YOSE,1,111665
YOSE,2,173610
YOSE,3,297207
YOSE,4,393004
YOSE,5,496625
YOSE,6,717462
YOSE,7,703153
YOSE,8,584664
YOSE,9,448939
YOSE,10,230598
YOSE,11,149188
BEOL,0,36
BEOL,1,441
BEOL,2,1526
BEOL,3,1779
BEOL,4,4172
BEOL,5,3251
BEOL,6,2844
BEOL,7,2117
BEOL,8,2379
BEOL,9,1434
BEOL,10,774
BEOL,11,921
BLCA,0,4921
BLCA,1,6369
BLCA,2,12180
BLCA,3,25077
BLCA,4,75198
BLCA,5,75289
BLCA,6,51368
BLCA,7,80046
BLCA,8,48420
BLCA,9,25828
BLCA,10,22684
BLCA,11,5438
COLM,0,17335
COLM,1,11779
COLM,2,22153
COLM,3,35626
COLM,4,47502
COLM,5,45087
COLM,6,49299
COLM,7,53897
COLM,8,48749
COLM,9,31552
COLM,10,19974
COLM,11,14079
CURE,0,16484
CURE,1,15874
CURE,2,17746
CURE,3,25621
CURE,4,55592
CURE,5,130551
CURE,6,222352
CURE,7,144598
CURE,8,86658
CURE,9,70536
CURE,10,36461
CURE,11,13561
DINO,0,1137
DINO,1,3189
DINO,2,5603
DINO,3,18794
DINO,4,36588
DINO,5,57804
DINO,6,62538
DINO,7,52365
DINO,8,29562
DINO,9,18868
DINO,10,7814
DINO,11,4703
FLFO,0,296
FLFO,1,1888
FLFO,2,2945
FLFO,3,4272
FLFO,4,7647
FLFO,5,12744
FLFO,6,14114
FLFO,7,12295
FLFO,8,10789
FLFO,9,6340
FLFO,10,2590
FLFO,11,1420
GRSA,0,4404
GRSA,1,5154
GRSA,2,19541
GRSA,3,25183
GRSA,4,68473
GRSA,5,122086
GRSA,6,103293
GRSA,7,81085
GRSA,8,52946
GRSA,9,32180
GRSA,10,8606
GRSA,11,4595
HOVE,0,572
HOVE,1,615
HOVE,2,2119
HOVE,3,3961
HOVE,4,5674
HOVE,5,4976
HOVE,6,4644
HOVE,7,1815
HOVE,8,5149
HOVE,9,3976
HOVE,10,1156
HOVE,11,742
MEVE,0,95
MEVE,1,3414
MEVE,2,14992
MEVE,3,32428
MEVE,4,60665
MEVE,5,108231
MEVE,6,113166
MEVE,7,87133
MEVE,8,70865
MEVE,9,47270
MEVE,10,10201
MEVE,11,7743
ROMO,0,118152
ROMO,1,99873
ROMO,2,146414
ROMO,3,160259
ROMO,4,280351
ROMO,5,698224
ROMO,6,973992
ROMO,7,830039
ROMO,8,752320
ROMO,9,374003
ROMO,10,123376
ROMO,11,113050
SAND,0,55
SAND,1,154
SAND,2,285
SAND,3,387
SAND,4,577
SAND,5,864
SAND,6,837
SAND,7,671
SAND,8,799
SAND,9,534
SAND,10,408
SAND,11,130
WEFA,0,930
WEFA,1,800
WEFA,2,1156
WEFA,3,2510
WEFA,4,4972
WEFA,5,5404
WEFA,6,5079
WEFA,7,6197
